symbol,name,logo_url 
AAPL,Apple Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/500px-Apple_logo_black.svg.png
ABNB,Airbnb Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Airbnb_Logo_B%C3%A9lo.svg/960px-Airbnb_Logo_B%C3%A9lo.svg.png
ADBE,Adobe Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Adobe_Corporate_wordmark.svg/2560px-Adobe_Corporate_wordmark.svg.png
ADI,Analog Devices Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Analog_Devices_Logo.svg/250px-Analog_Devices_Logo.svg.png
ADP,Automatic Data Processing Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Automatic_Data_Processing_%28logo%29.svg/250px-Automatic_Data_Processing_%28logo%29.svg.png
ADSK,Autodesk Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Autodesk_Logo_2021.svg/250px-Autodesk_Logo_2021.svg.png
AEP,American Electric Power Company Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/AEP-Logo-Red-Gray.svg/250px-AEP-Logo-Red-Gray.svg.png
AMAT,Applied Materials Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Applied_Materials_Inc._Logo.svg/250px-Applied_Materials_Inc._Logo.svg.png
AMD,Advanced Micro Devices Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/AMD_Logo.svg/250px-AMD_Logo.svg.png
AMGN,Amgen Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Amgen.svg/250px-Amgen.svg.png
AMZN,Amazon.com Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Amazon_2024.svg/250px-Amazon_2024.svg.png
APP,Applovin Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/AppLovin_logo.png/250px-AppLovin_logo.png
